index_no,model,simulation,observer,scenario,run,step,time,agent_name,selected_predictor,predictor_fitness,predictor_prediction,my_play
36,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_6,st_trend_8w,0.023809523809523808,14,NOT GOING
37,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_7,st_same_lw,0.017857142857142856,9,NOT GOING
38,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_8,st_trend_8w,0.024390243902439025,14,NOT GOING
39,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_9,st_same_lw,0.01639344262295082,9,NOT GOING
40,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_0,st_same_5w,0.02040816326530612,3,NOT GOING
41,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_1,st_same_5w,0.02127659574468085,0,GOING
42,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.022727272727272728,13,NOT GOING
43,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_3,st_same_2w,0.015384615384615385,9,NOT GOING
44,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_4,st_same_5w,0.02040816326530612,4,NOT GOING
45,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_5,st_trend_8w,0.022727272727272728,13,NOT GOING
46,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_6,st_trend_8w,0.021739130434782608,13,NOT GOING
47,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_7,st_same_lw,0.017543859649122806,10,NOT GOING
48,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_8,st_trend_8w,0.022222222222222223,13,NOT GOING
49,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,4,2025-12-20T13:41,L60p_9,st_same_lw,0.016129032258064516,10,NOT GOING
50,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_0,st_same_5w,0.02040816326530612,0,GOING
51,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_1,st_same_5w,0.02,0,GOING
52,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,5,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.018518518518518517,14,NOT GOING
